"lon","lat","id","name","addr","bnd","sameAs"
"8.952789","44.406950","7182","stazione ENI","VIA ARCHIMEDE 177R, 16142 - GENOVA GE","AgipEni",
"8.963687","44.442054","26257","ENI","VIA PIACENZA 185 A/R 16138 - GENOVA GE","AgipEni",
"8.952965","44.404687","16991","Stazione di servizio di Liguori Andrea","VIA TOLEMAIDE 9 R., 16129 - GENOVA GE","Api-Ip",
"9.018094","44.386898","16444","rapetti roberto","CORSO EUROPA 1624, 16132 - GENOVA GE","Api-Ip","24590"
"8.901886","44.462942","17012","Belcastro Daniela snc","PIAZZA OSPEDALE PASTORINO ., 16162 - GENOVA GE","AgipEni",
"8.950589","44.415428","26131","DISTRIBUTORE IP","VIA CANEVARI - DISTR. IP  16137 - GENOVA GE","Api-Ip",
"8.881112","44.421056","24143","EUROPAM","VIA RENATA BIANCHI 44B 16152 - GENOVA GE","PompeBianche",
"8.990874","44.398911","17533","tamoil","Corso europa 770  - GENOVA GE","Tamoil",
"8.868304","44.415726","26129","51490 GENOVA CONTI","PIAZZA MARIO CONTI 25/R 16152 - GENOVA GE","AgipEni",
"8.955291","44.404691","28766","STAROIL","VIA TOLEMAIDE 13R 16129 - GENOVA GE","PompeBianche","21708"
"8.978379","44.408367","19865","curreli giovanni andrea","VIA BORGORATTI 23L R, 16132 - GENOVA GE","AgipEni",
"8.896692","44.456313","10583","distributore " ESSO"","VIA UGO POLONIO 16 R. DISTRIBUTORE null, 16162   - GENOVA GE","Esso",
"8.775052","44.427338","23022","totalerg","statale 1 Via Aurelia Km. 80 dir. savona - GENOVA GE","TotalErg",
"8.949962","44.420486","15739","Eni 54290","CORSO ALESSANDRO DE STEFANIS 215 R, 16139 - GENOVA GE","AgipEni",
"8.965693","44.408826","10006","servizio q8","via aldo manuzio 40h,  - GENOVA GE","Q8",
"8.902504","44.471708","13581","totalerg","VIA SAN QUIRICO 20, 16152 - GENOVA GE","TotalErg",
"8.866314","44.415630","5528","GENOVA Via Cornigliano 189/R","Via Cornigliano 189 GENOVA, GE 16126 - GENOVA GE","TotalErg",
"8.948904","44.397737","28765","ITALFUEL","VIA CECCHI 29/AR 16129 - GENOVA GE","PompeBianche",
"8.894657","44.413986","6390","GENOVA VASCO DA GAMA","VASCO DA GAMA SNC GENOVA, GE 16149 - GENOVA GE","Q8",
"8.745936","44.428346","24398","stazione di servizio Total Erg","VIA CARLO CAMOZZINI 112I/R 16158 - GENOVA GE","TotalErg",
"8.982164","44.393880","11602","GENOVA-VIA DEI MILLE 9/R ANG. TABARCA","VIA DEI MILLE 9/R ANG. TABARCA 9/R GENOVA, GE 16147 - GENOVA GE","Shell",
"8.984869","44.454575","13198","Eni Molassana 01068","VIA MOLASSANA 169 R, 16138 - GENOVA GE","AgipEni",
"8.901438","44.409072","20824","EUROPAM","VIA DI FRANCIA 56 R, 16149 - GENOVA GE","PompeBianche",
"9.014886","44.388878","9511","Q8","CORSO EUROPA 1500, 16166 - GENOVA GE","Q8","22331"
"8.905306","44.465435","16546","ENI MANCINI","VIA FERRIERE BRUZZO 13, 16162 - GENOVA GE","AgipEni",
"8.855536","44.424987","8989","Q8 di Calzona Simone","Via borzoli 13r - GENOVA GE","Q8",
"8.944411","44.408941","23521","GENOVA PIAZZA BRIGNOLE 28/R","PIAZZA BRIGNOLE 28/R - GENOVA GE","Q8",
"8.980642","44.405616","22030","TOTALERG di ROCCA","CORSO EUROPA 313-311, 16132 - GENOVA GE","TotalErg",
"8.964157","44.442663","26230","VEGNI MASSIMO","VIA EMILIA 6/A 16138 - GENOVA GE","Api-Ip",
"8.858715","44.419910","6351","DISTRIBUTORE AGIP DI CROVEETI ALBERTO","VIA ANGELO SIFFREDI 62 R, 16153 - GENOVA GE","AgipEni",
"8.910348","44.418552","8714","vella roberto","VIA BOLOGNA 1/F, 16127 - GENOVA GE","AgipEni",
"8.958158","44.394074","14802","IP","Via Gobetti ang Via Zara  - GENOVA GE","Api-Ip",
"8.901697","44.489685","26913","PV 55863","VIA SAN QUIRICO 160/R 16163 - GENOVA GE","AgipEni",
"9.014870","44.388898","22331","GENOVA QUINTO CORSO EUROPA 1500","CORSO EUROPA 1500 - GENOVA GE","Q8","9511"
"8.948819","44.418668","13923","IP","PIAZZALE MARASSI null, 16139 - GENOVA GE","Api-Ip",
"8.856947","44.426857","9259","Q8 Ferretti Walter","Via Borzoli 39 C  - GENOVA GE","Q8",
"8.804395","44.423998","16359","alloisio G&M","VIA PEGLI 54 R, 16156 - GENOVA GE","Esso",
"8.986594","44.406231","14179","esso","VIA POSALUNGA 46 A R, 16132 - GENOVA GE","Esso",
"8.928279","44.405402","24592","GENOVA - QUADRIO 12A/R","GENOVA - VIA QUADRIO 12A/R - GENOVA GE","Api-Ip","17780"
